Target,Winning_Model,Training_Time_Sec,Prediction_Time_Sec,MAE,RMSE,R2,MAPE,Accuracy,Precision,Recall,F1,ROC_AUC
Financial_Health_Score,LightGBM,1.269855260848999,0.023478031158447266,0.3319966443971829,0.495733862029608,0.9871053442318037,0.4740622655396799,,,,,
Default_Probability,LightGBM,1.6417760848999023,0.029775142669677734,0.004473360248808266,0.006818603328636488,0.9828288842853433,1.6684532102220273,,,,,
Loan_Eligibility,XGBoost,0.39442992210388184,0.011664867401123047,,,,,0.998,0.9987868985038415,0.9991909385113269,0.9989888776541962,0.9994654415164124
